Metsävarakuvioiden ja erityisen tärkeiden elinympäristökuvioiden koodisto- taulukko solusta A2 soluun G4464;;;;;;;
Koodisto;Kenttä;Koodi;Selite_FI;Selite_SE;Selite_ENG;Selite_LATINA;
1_577;featurecode;5768;Pähkämönurmilude;Pähkämönurmilude;;;
1_577;featurecode;5769;Ruskolatikka;Ruskolatikka;;;
1_577;featurecode;5770;Suovesimittari;Suovesimittari;;;
1_577;featurecode;5771;Synkkälatikka;Synkkälatikka;;;
1_577;featurecode;5772;Virtalude;Virtalude;;;
1_577;featurecode;5773;Virtavesimittari;Virtavesimittari;;;
1_577;featurecode;5790;Hammashietapistiäinen;Hammashietapistiäinen;;;
1_577;featurecode;5791;Hietamauriainen;Hietamauriainen;;;
1_577;featurecode;5792;Hämeenkuusamavarviainen;Hämeenkuusamavarviainen;;;
1_577;featurecode;5793;Idänisolehtiäinen;Idänisolehtiäinen;;;
1_577;featurecode;5794;Idänmaamehiläinen;Idänmaamehiläinen;;;
1_577;featurecode;5795;Idänmailapistiäinen;Idänmailapistiäinen;;;
1_577;featurecode;5796;Isopipomehiläinen;Isopipomehiläinen;;;
1_577;featurecode;5797;Juhannuskimalainen;Juhannuskimalainen;;;
1_577;featurecode;5798;Jymyleikkurimehiläinen;Jymyleikkurimehiläinen;;;
1_577;featurecode;5799;Kaakonmaamehiläinen;Kaakonmaamehiläinen;;;
1_577;featurecode;5800;Kaakonvakomehiläinen;Kaakonvakomehiläinen;;;
1_577;featurecode;5801;Katkosarvilehtiäinen;Katkosarvilehtiäinen;;;
1_577;featurecode;5802;Kaunokudospistiäinen;Kaunokudospistiäinen;;;
1_577;featurecode;5803;Keltaisolehtiäinen;Keltaisolehtiäinen;;;
1_577;featurecode;5804;Keltatäpläkiho;Keltatäpläkiho;;;
1_577;featurecode;5805;Kerinuijapistiäinen;Kerinuijapistiäinen;;;
1_577;featurecode;5806;Ketokudospistiäinen;Ketokudospistiäinen;;;
1_577;featurecode;5807;Keulankärkivarviainen;Keulankärkivarviainen;;;
1_577;featurecode;5808;Kiilamehiläinen;Kiilamehiläinen;;;
1_577;featurecode;5809;Kiiltokoloampiainen;Kiiltokoloampiainen;;;
1_577;featurecode;5810;Kiiltotäpläpistiäinen;Kiiltotäpläpistiäinen;;;
1_577;featurecode;5811;Kimmelnuijapistiäinen;Kimmelnuijapistiäinen;;;
1_577;featurecode;5812;Kirjoheinälehtiäinen;Kirjoheinälehtiäinen;;;
1_577;featurecode;5813;Kirjokoloampiainen;Kirjokoloampiainen;;;
1_577;featurecode;5814;Kirjosorjoampiainen;Kirjosorjoampiainen;;;
1_577;featurecode;5815;Korunuijapistiäinen;Korunuijapistiäinen;;;
1_577;featurecode;5816;Kuoppasorjoampiainen;Kuoppasorjoampiainen;;;
1_577;featurecode;5817;Kuusamankudospistiäinen;Kuusamankudospistiäinen;;;
1_577;featurecode;5818;Kääpiökultiainen;Kääpiökultiainen;;;
1_577;featurecode;5819;Lehtiäishietapistiäinen;Lehtiäishietapistiäinen;;;
1_577;featurecode;5820;Lehtokuusamavarviainen;Lehtokuusamavarviainen;;;
1_577;featurecode;5821;Loissahiainen;Loissahiainen;;;
1_577;featurecode;5822;Lysmypistiäinen;Lysmypistiäinen;;;
1_577;featurecode;5823;Metsäomenavarviainen;Metsäomenavarviainen;;;
1_577;featurecode;5824;Mäntykiitäjäkiho;Mäntykiitäjäkiho;;;
1_577;featurecode;5825;Nummimehiläinen;Nummimehiläinen;;;
1_577;featurecode;5826;Nykäpistiäinen;Nykäpistiäinen;;;
1_577;featurecode;5827;Otapipomehiläinen;Otapipomehiläinen;;;
1_577;featurecode;5828;Pajumailapistiäinen;Pajumailapistiäinen;;;
1_577;featurecode;5829;Pikkuiskosmehiläinen;Pikkuiskosmehiläinen;;;
1_577;featurecode;5830;Pikkupuukkopistiäinen;Pikkupuukkopistiäinen;;;
1_577;featurecode;5831;Pikkusorjoampiainen;Pikkusorjoampiainen;;;
1_577;featurecode;5832;Pikkusäiläpistiäinen;Pikkusäiläpistiäinen;;;
1_577;featurecode;5833;Poppelikiitäjäkiho;Poppelikiitäjäkiho;;;
1_577;featurecode;5834;Pulskamailapistiäinen;Pulskamailapistiäinen;;;
1_577;featurecode;5835;Punajunki;Punajunki;;;
1_577;featurecode;5836;Päistärpistiäinen;Päistärpistiäinen;;;
1_577;featurecode;5837;Raudikkopistiäinen;Raudikkopistiäinen;;;
1_577;featurecode;5838;Ritarikiho;Ritarikiho;;;
1_577;featurecode;5839;Ruusuruohokiertomehiläinen;Ruusuruohokiertomehiläinen;;;
1_577;featurecode;5840;Ruusuruohomaamehiläinen;Ruusuruohomaamehiläinen;;;
1_577;featurecode;5841;Sammalkimalainen;Sammalkimalainen;;;
1_577;featurecode;5842;Seljakirvapistiäinen;Seljakirvapistiäinen;;;
1_577;featurecode;5843;Silmäkiitäjäkiho;Silmäkiitäjäkiho;;;
1_577;featurecode;5844;Silomehiläinen;Silomehiläinen;;;
1_577;featurecode;5845;Silosäihkypistiäinen;Silosäihkypistiäinen;;;
1_577;featurecode;5846;Suomenkirvapistiäinen;Suomenkirvapistiäinen;;;
1_577;featurecode;5847;Syreenikiitäjäkiho;Syreenikiitäjäkiho;;;
1_577;featurecode;5848;Sysimaamehiläinen;Sysimaamehiläinen;;;
1_577;featurecode;5849;Tammilehtiäinen;Tammilehtiäinen;;;
1_577;featurecode;5850;Tarhaloiskimalainen;Tarhaloiskimalainen;;;
1_577;featurecode;5851;Täpläisolehtiäinen;Täpläisolehtiäinen;;;
1_577;featurecode;5852;Urakoloampiainen;Urakoloampiainen;;;
1_577;featurecode;5853;Vaskinuijapistiäinen;Vaskinuijapistiäinen;;;
1_577;featurecode;5854;Verijuurivarsiainen;Verijuurivarsiainen;;;
1_577;featurecode;5855;Viherpyörökultiainen;Viherpyörökultiainen;;;
1_577;featurecode;5860;Reuterinharsokorento;Reuterinharsokorento;;;
1_577;featurecode;5861;Valjurantakorento;Valjurantakorento;;;
1_577;featurecode;5862;Kalvaskirvakorento;Kalvaskirvakorento;;;
1_577;featurecode;5863;Lehtokoikorento;Lehtokoikorento;;;
1_577;featurecode;5864;Pikipäävahiainen;Pikipäävahiainen;;;
1_577;featurecode;5865;Hietikkonatakaskas;Hietikkonatakaskas;;;
1_577;featurecode;5866;Hietikkosarakaskas;Hietikkosarakaskas;;;
1_577;featurecode;5867;Idänketokaskas;Idänketokaskas;;;
1_577;featurecode;5868;Pohjanaarnikaskas;Pohjanaarnikaskas;;;
1_577;featurecode;5869;Tumma-aarnikaskas;Tumma-aarnikaskas;;;
1_577;featurecode;5870;Aarnivaleskorpioni;Aarnivaleskorpioni;;;
1_577;featurecode;5871;Idänriippuhämähäkki;Idänriippuhämähäkki;;;
1_577;featurecode;5872;Irlanninkääpiöhämähäkki;Irlanninkääpiöhämähäkki;;;
1_577;featurecode;5873;Isoristihämähäkki;Isoristihämähäkki;;;
1_577;featurecode;5874;Jäkäläkääpiöhämähäkki;Jäkäläkääpiöhämähäkki;;;
1_577;featurecode;5875;Jättirapuhämähäkki;Jättirapuhämähäkki;;;
1_577;featurecode;5876;Kalkkikääpiöhämähäkki;Kalkkikääpiöhämähäkki;;;
1_577;featurecode;5877;Kalvasriippuhämähäkki;Kalvasriippuhämähäkki;;;
1_577;featurecode;5878;Karjalankääpiöhämähäkki;Karjalankääpiöhämähäkki;;;
1_577;featurecode;5879;Kosteikkovarpuhämähäkki;Kosteikkovarpuhämähäkki;;;
1_577;featurecode;5880;Kurjenpolvihämähäkki;Kurjenpolvihämähäkki;;;
1_577;featurecode;5881;Kuusamonkääpiöhämähäkki;Kuusamonkääpiöhämähäkki;;;
1_577;featurecode;5882;Kärppähämähäkki;Kärppähämähäkki;;;
1_577;featurecode;5883;Lehtokääpiöhämähäkki;Lehtokääpiöhämähäkki;;;
1_577;featurecode;5884;Lehtopussihämähäkki;Lehtopussihämähäkki;;;
1_577;featurecode;5885;Letto-okajalkahämähäkki;Letto-okajalkahämähäkki;;;
1_577;featurecode;5886;Lounaanvarpuhämähäkki;Lounaanvarpuhämähäkki;;;
1_577;featurecode;5887;Luolahämähäkki;Luolahämähäkki;;;
1_577;featurecode;5888;Muurahaiskiiltohämähäkki;Muurahaiskiiltohämähäkki;;;
1_577;featurecode;5889;Nummimuurahaishämähäkki;Nummimuurahaishämähäkki;;;
1_577;featurecode;5890;Onkaloriippuhämähäkki;Onkaloriippuhämähäkki;;;
1_577;featurecode;5891;Pohjanhyppyhämähäkki;Pohjanhyppyhämähäkki;;;
1_577;featurecode;5892;Pohjanpimentohämähäkki;Pohjanpimentohämähäkki;;;
1_577;featurecode;5893;Rahkakääpiöhämähäkki;Rahkakääpiöhämähäkki;;;
1_577;featurecode;5894;Rinnekiiltohämähäkki;Rinnekiiltohämähäkki;;;
1_577;featurecode;5895;Rinnevarpuhämähäkki;Rinnevarpuhämähäkki;;;
1_577;featurecode;5896;Kalkkikivikkohämähäkki;Kalkkikivikkohämähäkki;;;
1_577;featurecode;5897;Luotohyppyhämähäkki;Luotohyppyhämähäkki;;;
1_577;featurecode;5898;Punakivikkohämähäkki;Punakivikkohämähäkki;;;
1_577;featurecode;5899;Täplälouhikkohämähäkki;Täplälouhikkohämähäkki;;;
1_577;featurecode;5900;Vaellussiika;Älvsik;;;
1_577;featurecode;5901;Vimpa;Vimba;;;
1_577;featurecode;5902;Harjus;Harr; ;Thymallus thymallus;
1_577;featurecode;5903;Järvisiika;Järvisiika;;;
1_577;featurecode;5904;Nahkiainen;Flodnejonöga; ;Lampetra fluviatilis;
1_577;featurecode;5905;Nieriä;Nieriä;;;
1_577;featurecode;5950;Etelänhernesimpukka;Sydärtmussla;;;
1_577;featurecode;5951;Hoikkasarvikotilo;Smalhornsnäcka;;;
1_577;featurecode;5952;Kaksihammaskotilo;Tandsnäcka;;;
1_577;featurecode;5953;Kalkkisiemenkotilo;Otandad grynsnäcka; ;Vertigo genesii;
1_577;featurecode;5954;Kapeasiemenkotilo;Smalgrynsnäcka; ;Vertigo angustior;
1_577;featurecode;5955;Kristallikotilo;Kristallsnäcka;;;
1_577;featurecode;5956;Kääpiösarvikotilo;Dvärghornsnäcka;;;
1_577;featurecode;5957;Laukkakotilo;Löksnäcka;;;
1_577;featurecode;5958;Lettosiemenkotilo;Kalkkärrsgrynsnäcka; ;Vertigo geyeri;
1_577;featurecode;5959;Leveäkierrekiiltokotilo;Bredbandad skimmersnäcka;;;
1_577;featurecode;5960;Litteäkristallikotilo;Platt kristallsnäcka;;;
1_577;featurecode;5961;Pienisiemenkotilo;Smågrynsnäcka;;;
1_577;featurecode;5962;Piikkikotilo;Taggsnäcka;;;
1_577;featurecode;5963;Pohjansiemenkotilo;Nordgrynsnäcka;;;
1_577;featurecode;5964;Syvännehernesimpukka;Djupbottenmussla;;;
1_577;featurecode;5965;Viherkiiltokotilo;Grönskimmersnäcka;;;
1_577;featurecode;5966;Vuollejokisimpukka;Tjockskalig målarmussla; ;Unio crassus;
1_577;featurecode;5967;Lasilimaetana;Lasilimaetana;;;
1_577;featurecode;5968;Metsäharjaetana;Metsäharjaetana;;;
1_577;featurecode;5969;Pikkupoimusulkukotilo;Pikkupoimusulkukotilo;;;
1_577;featurecode;5970;Seitsenhammasseimenkotilo;Seitsenhammasseimenkotilo;;;
1_577;featurecode;5971;Soikeasirokotilo;Soikeasirokotilo;;;
1_577;featurecode;5972;Soukkojokisimpukka;Soukkojokisimpukka;;;
1_577;featurecode;5973;Uurteiskotilo;Uurteiskotilo;;;
1_577;featurecode;5974;Valkokylkietana;Valkokylkietana;;;
1_577;featurecode;5975;Valkonauhakotilo;Valkonauhakotilo;;;
1_577;featurecode;5999;Tunnistamaton eläinlaji;Oidentifierad djurart;;;
1_577;featurecode;6000;Ahomansikka;Smultron;;;
1_577;featurecode;6001;Karpalo;Tranbär;;;
1_577;featurecode;6002;Lakka;Hjortron;;;
1_577;featurecode;6003;Mesimarja;Åkerbär;;;
1_577;featurecode;6004;Mustikka;Blåbär;;;
1_577;featurecode;6005;Puolukka;Lingon;;;
1_577;featurecode;6006;Tyrni;Havtorn;;;
1_577;featurecode;6007;Vadelma;Hallon;;;
1_577;featurecode;6019;Muu marja;Annat bär;;;
1_577;featurecode;6020;Haperot;Kremlor;;;
1_577;featurecode;6021;Isohapero;Storkremla;;;
1_577;featurecode;6022;Kangashapero;Kangashapero;;;
1_577;featurecode;6023;Keltahapero;Keltahapero;;;
1_577;featurecode;6024;Viinihapero;Viinihapero;;;
1_577;featurecode;6030;Huhtasieni;Toppmurkla;;;
1_577;featurecode;6031;Keltavahvero;Kantarell;;;
1_577;featurecode;6032;Korvasieni;Murkla;;;
1_577;featurecode;6033;Lampaankääpä;Fårticka;;;
1_577;featurecode;6034;Kehnäsieni;Kehnäsieni;;;
1_577;featurecode;6035;Mesisienet;Mesisienet;;;
1_577;featurecode;6036;Mustavahakas;Mustavahakas;;;
1_577;featurecode;6050;Rouskut;Riskor;;;
1_577;featurecode;6051;Haaparouskut;Haaparouskut;;;
1_577;featurecode;6052;Kangasrousku;Pepparriska;;;
1_577;featurecode;6053;Karvarousku;Skäggriska;;;
1_577;featurecode;6054;Leppärouskut;Leppärouskut;;;
1_577;featurecode;6060;Mustatorvisieni;Svart trumpetsvamp;;;
1_577;featurecode;6061;Suppilovahvero;Trattkantarell;;;
1_577;featurecode;6070;Tatit;Soppar;;;
1_577;featurecode;6071;Herkkutatit;Herkkutatit;;;
1_577;featurecode;6072;Kangastatti;Sandsopp;;;
1_577;featurecode;6073;Punikkitatit;Punikkitatit;;;
1_577;featurecode;6074;Voitatti;Voitatti;;;
1_577;featurecode;6080;Vaaleaorakas;Blek taggsvamp;;;
1_577;featurecode;6098;Muu ruokasieni;Annan matsvamp;;;
1_577;featurecode;6099;Muu sieni;Annan svamp;;;
1_577;featurecode;6100;Isohirvenjäkälä/Islanninjäkälä;Islandslav;;;
1_577;featurecode;6101;Kamomillasaunio;Kamomill;;;
1_577;featurecode;6102;Kanerva;Ljung;;;
1_577;featurecode;6103;Kultapiisku;Gullris;;;
1_577;featurecode;6104;Lillukka;Stenbär;;;
1_577;featurecode;6105;Maitohorsma;Duntrav;;;
1_577;featurecode;6106;Mesiangervo;Älggräs;;;
1_577;featurecode;6107;Mustaherukka;Svart vinbär;;;
1_577;featurecode;6108;Nokkonen;Brännässla;;;
1_577;featurecode;6109;Peltokorte;Åkerfräken;;;
1_577;featurecode;6110;Poimulehti;Daggkåpa;;;
1_577;featurecode;6111;Puna-apila;Rödklöver;;;
1_577;featurecode;6112;Siankärsämö;Rölleka;;;
1_577;featurecode;6113;Sianpuolukka;Mjölon;;;
1_577;featurecode;6114;Suopursu;Getpors;;;
1_577;featurecode;6115;Valkoapila;Vitklöver;;;
1_577;featurecode;6116;Voikukka;Maskros;;;
1_577;featurecode;6117;Vuohenputki;Kirskål;;;
1_577;featurecode;6200;Jäkälä;Lav;;;
1_577;featurecode;6201;Keto- ja niittykasvit;Ängsväxter;;;
1_577;featurecode;6202;Kääpä;Ticka;;;
1_577;featurecode;6203;Mahla;Sav;;;
1_577;featurecode;6204;Pihka;Kåda;;;
1_577;featurecode;6205;Sammal;Mossa;;;
1_577;featurecode;6300;Katajapensas;Enbuske;;;
1_577;featurecode;6301;Koiranheisi;Skogsolvon;;;
1_577;featurecode;6302;Korpipaatsama;Brakved;;;
1_577;featurecode;6303;Lehtokuusama;Skogstry;;;
1_577;featurecode;6304;Näsiä;Tibast;;;
1_577;featurecode;6305;Pajupensas;Videbuske;;;
1_577;featurecode;6306;Pähkinäpensas;Hasselbuske;;;
1_577;featurecode;6307;Taikinamarja;Degbär;;;
1_577;featurecode;6308;Terttuselja;Druvfläder;;;
1_577;featurecode;6309;Kotkansiipi;Strutsbräken;;;
1_577;featurecode;6310;Pensasruusut;Buskrosor;;;
1_577;featurecode;6311;Metsäruusu;Kanelros;;;
1_577;featurecode;6500;Kampasaniainen;Kambräken;;;
1_577;featurecode;6501;Lehtonoidanlukko;Stor låsbräken; ;Botrychium virginianum;
1_577;featurecode;6502;Pikkunoidanlukko;Dvärglåsbräken; ;Botrychium simplex;
1_577;featurecode;6503;Serpentiiniraunioinen;Brunbräcken; ;Asplenium adulterinum;
1_577;featurecode;6504;Seinäraunioinen;Murruta; ;Asplenium ruta-muraria;
1_577;featurecode;6550;Hajasara;Skärmstarr;;;
1_577;featurecode;6551;Hentonäkinruoho;Spädnajas; ;Najas tenuissima;
1_577;featurecode;6552;Hukkariisi;Vildris; ;Leersia oryzoides;
1_577;featurecode;6553;Idänkurho;Långbladig spåtistel; ;Carlina biebersteinii;
1_577;featurecode;6554;Idänmasmalo;Getväppling; ;Anthyllis vulneraria ssp. polyphylla;
1_577;featurecode;6555;Idänverijuuri;Rysk småborre; ;Agrimonia pilosa ;
1_577;featurecode;6556;Isopukinjuuri;Stor bockrot; ;Pimpinella major;
1_577;featurecode;6557;Isovesirikko;Kransslamkrypa;;;
1_577;featurecode;6558;Juurtokaisla;Bågsäv;;;
1_577;featurecode;6559;Juurtonurmikka;Trampgröe;;;
1_577;featurecode;6560;Kaitaängelmä;Glansruta; ;Thalictrum lucidum;
1_577;featurecode;6561;Kellokanerva;Klockljung; ;Erica tetralix;
1_577;featurecode;6562;Kenttäorakko;Stallört; ;Ononis arvensis;
1_577;featurecode;6563;Ketokatkero;Fältgentiana; ;Gentianella campestris;
1_577;featurecode;6564;Ketonukki;Grusviva; ;Androsace septentrionalis;
1_577;featurecode;6565;Ketunsara;Rävstarr; ;Carex vulpina;
1_577;featurecode;6566;Kiiltovalkku;Gulyxne; ;Liparis loeselii;
1_577;featurecode;6567;Kimalaisorho;Flugblomster; ;Ophrys insectifera;
1_577;featurecode;6568;Kirjopikarililja;Kungsängslilja;;;
1_577;featurecode;6569;Konnantatar;Stor ormrot;;;
1_577;featurecode;6570;Konnantädyke;Vattenveronika;;;
1_577;featurecode;6571;Kuusamonsarake;Fleraxig sävstarr; ;Kobresia simpliciuscula;
1_577;featurecode;6572;Kääpiölauha;Vårtåtel;;;
1_577;featurecode;6573;Lapinkaura;Venhavre; ;Trisetum subalpestre;
1_577;featurecode;6574;Laukkaneilikka;Backtrift; ;Armeria maritima;
1_577;featurecode;6575;Lehtokattara;Strävlosta; ;Bromus benekenii;
1_577;featurecode;6576;Lehtolitukka;Lundbräsmaka; ;Cardamine impatiens;
1_577;featurecode;6577;Lehtonata;Långsvingel; ;Festuca gigantea;
1_577;featurecode;6578;Lehtoängelmä;Aklejruta; ;Thalictrum aquilegiifolium;
1_577;featurecode;6579;Luhtaorvokki;Sumpviol; ;Viola uliginosa ;
1_577;featurecode;6580;Merilettotähtimö;Sumpstjärnblomma; ;Stellaria crassifolia var. minor (S. crassifolia var. brevifolia);
1_577;featurecode;6581;Metsälitukka;Skogsbräsma; ;Cardamine flexuosa;
1_577;featurecode;6582;Mäkiorvokki;Bergviol; ;Viola collina ;
1_577;featurecode;6583;Nokkasara;Näbbstarr;;;
1_577;featurecode;6584;Notkeanäkinruoho;Sjönajas; ;Najas flexilis;
1_577;featurecode;6585;Nummimatara;Stenmåra; ;Galium saxatile;
1_577;featurecode;6586;Otakilokki;Sodaört;;;
1_577;featurecode;6587;Pahtakeltto;Brantfibbla; ;Crepis tectorum ssp. nigres-cens;
1_577;featurecode;6588;Patukkasara;Hartmansstarr; ;Carex hartmanii;
1_577;featurecode;6589;Pikkuhanhikki;Småfingerört; ;Potentilla tabernaemontani (P. neumanniana);
1_577;featurecode;6590;Pikkukilokki;Saltört;;;
1_577;featurecode;6591;Pikkupunka;Knutört;;;
1_577;featurecode;6592;Pohjanailakki;Polarblära; ;Silene involucrata (S. furcata);
1_577;featurecode;6593;Pohjansorsimo;Hänggräs; ;Arctophila fulva;
1_577;featurecode;6594;Pommerinvirna;Backvicker; ;Vicia cassubica;
1_577;featurecode;6595;Punakatko;Rödfloka;;;
1_577;featurecode;6596;Punavalkku;Rödsyssla; ;Cephalanthera rubra;
1_577;featurecode;6597;Pyökkiorvokki;Lundviol;;;
1_577;featurecode;6598;Rantalitukka;Strandbräsma; ;Cardamine parviflora;
1_577;featurecode;6599;Rantaruttojuuri;Spjutskråp;;;
1_577;featurecode;6600;Revonsara;Blankstarr;;;
1_577;featurecode;6601;Räpyläsara;Fågelstarr;;;
1_577;featurecode;6602;Rönsysorsimo;Arktiskt saltgräs; ;Puccinellia phryganodes;
1_577;featurecode;6603;Röyhyhelmikkä;Lundslok;;;
1_577;featurecode;6604;Sakarahanhikki;Taggsmåfingerört; ;Potentilla neumanniana (P. subarenaria);
1_577;featurecode;6605;Sammakonleinikki;Nordlig tiggarranunkel;;;
1_577;featurecode;6606;Sinikuusama;Blåtry; ;Lonicera caerulea;
1_577;featurecode;6607;Sorsanputki;Vattenmärke; ;Sium latifolium;
1_577;featurecode;6608;Sääskenvalkku;Knottblomster; ;Malaxis monophyllos;
1_577;featurecode;6609;Taarna;Ag; ;Cladium mariscus;
1_577;featurecode;6610;Talvikkipaju;Pyrolavide; ;Salix pyrolifolia;
1_577;featurecode;6611;Tanskanlaukkaneilikka;Tanskanlaukkaneilikka;;;
1_577;featurecode;6612;Tummahorsma;Mörk dunört; ;Epilobium obscurum;
1_577;featurecode;6613;Tupsulinnunruoho;Toppjungfrulin;;;
1_577;featurecode;6614;Turjanhorsma;Lappdunört; ;Epilobium laestadii;
1_577;featurecode;6615;Tähkähelmikkä;Grusslok; ;Melica ciliata;
1_577;featurecode;6616;Valkopärskäjuuri;Nysrot; ;Veratrum album;
1_577;featurecode;6617;Vanakeltto;Klasefibbla; ;Crepis praemorsa;
1_577;featurecode;6618;Vesiminttu;Vattenmynta;;;
1_577;featurecode;6619;Vuorikuisma;Bergjohannesört; ;Hypericum montanum;
1_577;featurecode;6620;Värimaratti;Färgmadra; ;Asperula tinctoria;
1_577;featurecode;6621;Ahokirkiruoho;Ahokirkiruoho; ;Gymnadenia conopsea var. conopsea;
1_577;featurecode;6641;Peltorusojuuri;Sminkrot;;;
1_577;featurecode;7000;Etelänhaivensammal;Späd hårgräsmossa;;;
1_577;featurecode;7001;Etelänkarhunsammal;Taigabjörnmossa;;;
1_577;featurecode;7002;Etelänruostesammal;Mörk baronmossa; ;Anomodon rugelii;
1_577;featurecode;7003;Etelänuurresammal;Atlantärgmossa; ;Zygodon conoideus;
1_577;featurecode;7004;Haapariippusammal;Aspfjädermossa; ;Neckera pennata;
1_577;featurecode;7005;Hitupihtisammal;Vedtrådmossa; ;Cephalozia macounii ;
1_577;featurecode;7006;Isoalvesammal;Spetsblekmossa (sylspetsmossa);;;
1_577;featurecode;7007;Isohiippasammal;Stor hättemossa (båghättemossa);;;
1_577;featurecode;7008;Isonokkasammal;Skoggsprötmossa (hasselmossa); ;Eurhynchium striatum;
1_577;featurecode;7009;Kaitahitusammal;Tanddvärgmossa; ;Seligeria brevifolia ;
1_577;featurecode;7010;Kalkkipahkurasammal;Liten kalkkuddmossa;;;
1_577;featurecode;7011;Kalkkipartasammal;Tornskruvmossa;;;
1_577;featurecode;7012;Kalliosuomusammal;Bäckradula;;;
1_577;featurecode;7013;Kantokinnassammal;Timmerscapania; ;Scapania apiculata;
1_577;featurecode;7014;Kantopaanusammal;Vedsäckmossa; ;Calypogeia suecica;
1_577;featurecode;7015;Katkokynsisammal;Stamkvastmossa; ;Dicranum viride;
1_577;featurecode;7016;Katvenokkasammal;Strandsprötmossa;;;
1_577;featurecode;7017;Ketunhiippasammal;Ägghättemossa;;;
1_577;featurecode;7018;Kolokärpänsammal;Tandad knottmossa (dvärgkvastmossa); ;Rhabdoweisia crispata;
1_577;featurecode;7019;Kolusammal;Gubbmossa; ;Coscinodon cribrosus;
1_577;featurecode;7020;Korpikaltiosammal;Liten måntandsmossa; ;Harpanthus scutatus;
1_577;featurecode;7021;Lahokaviosammal;Grön sköldmossa; ;Buxbaumia viridis;
1_577;featurecode;7022;Lapinsirppisammal;Taigakrokmossa; ;Hamatocaulis lapponicus ;
1_577;featurecode;7023;Lännenkynsisammal;Nålkvastmossa;;;
1_577;featurecode;7024;Nummirahkasammal;Hedvitmossa; ;Sphagnum molle;
1_577;featurecode;7025;Ota-alvesammal;Ota-alvesammal;;;
1_577;featurecode;7026;Pohjanrusosammal;Pohjanrusosammal;;;
1_577;featurecode;7027;Pohjansompasammal;Liten parasollmossa; ;Splachnum melanocaulon;
1_577;featurecode;7028;Purolaakasammal;Bäcksidenmossa; ;Plagiothecium platyphyllum;
1_577;featurecode;7029;Rakkosammal;Långfliksmossa; ;Nowellia curvifolia;
1_577;featurecode;7030;Rannikkorahkasammal;Snärjvitmossa; ;Sphagnum affine;
1_577;featurecode;7031;Tunturituppisammal;Fjälltimmia;;;
1_577;featurecode;7032;Törrökinnassammal;Spärrskapania;;;
1_577;featurecode;7033;Viheruurresammal;Liten ärgmossa (ärgmossa); ;Zygodon viridissimus;
1_577;featurecode;7049;Kalliopunossammal;Kalliopunossammal; ;Porella cordaeana;
1_577;featurecode;7052;Kiiltosirppisammal;Käppkrokmossa; ;Hamatocaulis vernicosus;
1_577;featurecode;7054;Korpihohtosammal;Platt spretmossa; ;Herzogiella turfacea;
1_577;featurecode;7165;Mesipillikääpä;Mesipillikääpä; ;Antrodia mellita;
1_577;featurecode;7173;Paksukuorikääpä;Paksukuorikääpä;;;
1_577;featurecode;7174;Persikkahapero;Persikkahapero;;;
1_577;featurecode;7175;Piikkikahvikka;Piikkikahvikka;;;
1_577;featurecode;7176;Pikkukuurakka;Pikkukuurakka;;;
1_577;featurecode;7177;Pohjanrypykkä;Pohjanrypykkä; ;Phlebia centrifuga ;
1_577;featurecode;7178;Poimukääpä;Poimukääpä; ;Antrodia pulvinascens;
1_577;featurecode;7179;Rantaotaraspikka;Rantaotaraspikka;;;
1_577;featurecode;7180;Rantarypykkä;Rantarypykkä; ;Phlebia lindtneri;
1_577;featurecode;7181;Raspikieli;Raspikieli;;;
1_577;featurecode;7182;Rikkinuppiseitikki;Rikkinuppiseitikki;;;
1_577;featurecode;7183;Rikkivanukka;Rikkivanukka; ;Amylocorticium subsulphureum ;
1_577;featurecode;7184;Ruosteukonsieni;Ruosteukonsieni;;;
1_577;featurecode;7185;Rusakonkääpä;Rusakonkääpä;;;
1_577;featurecode;7186;Ruskovahakas;Ruskovahakas;;;
1_577;featurecode;7187;Ryppyjyväslakki;Ryppyjyväslakki;;;
1_577;featurecode;7188;Rytimantumukula;Rytimantumukula;;;
1_577;featurecode;7189;Sarcodon leucopus;Sarcodon leucopus;;;
1_577;featurecode;7190;Seitarisakas;Seitarisakas;;;
1_577;featurecode;7191;Seittikarvakka;Seittikarvakka;;;
1_577;featurecode;7192;Silohaperonvieras;Silohaperonvieras;;;
1_577;featurecode;7193;Simpukkarisakas;Simpukkarisakas;;;
1_577;featurecode;7194;Sinihuovakka;Sinihuovakka; ;Amaurodon cyaneus;
1_577;featurecode;7195;Siperianhämäkkä;Siperianhämäkkä;;;
1_577;featurecode;7196;Sirppikääpä;Sirppikääpä; ;Cinereomyces lenis;
1_577;featurecode;7197;Sitkankääpä;Sitkankääpä;;;
1_577;featurecode;7198;Sopulinkääpä;Sopulinkääpä; ;Piloporia sajanensis;
1_577;featurecode;7199;Suippu-ukonsieni;Suippu-ukonsieni;;;
1_577;featurecode;7200;Suttunuppiseitikki;Suttunuppiseitikki;;;
1_577;featurecode;7201;Synkkäjyväslakki;Synkkäjyväslakki;;;
1_577;featurecode;7202;Säieharsukka;Säieharsukka;;;
1_577;featurecode;7203;Säiesopikka;Säiesopikka; ;Lindtneria chordulata;
1_577;featurecode;7204;Sämpyläorakas;Sämpyläorakas;;;
1_577;featurecode;7205;Säämiskävalmuska;Säämiskävalmuska;;;
