Metsävarakuvioiden ja erityisen tärkeiden elinympäristökuvioiden koodisto- taulukko solusta A2 soluun G4464;;;;;;;
Koodisto;Kenttä;Koodi;Selite_FI;Selite_SE;Selite_ENG;Selite_LATINA;
622_634;treespecies;3;Rauduskoivu;Vårtbjörk;Silver birch;Betula pendula;
622_634;treespecies;4;Hieskoivu;Glasbjörk;Downy birch;Betula pubescens;
622_634;treespecies;5;Haapa;Asp;Asp;Populus tremula;
622_634;treespecies;6;Harmaaleppä;Gråal;Grey alder;Alnus incana;
622_634;treespecies;7;Tervaleppä;Klibbal;Black alder;Alnus glutinosa;
622_634;treespecies;8;Muu havupuu;Annat barrträdslag;Other coniferous tree; ;
622_634;treespecies;9;Muu lehtipuu;Annat lövträdslag;Other deciduous tree; ;
622_634;treespecies;10;Douglaskuusi;Douglasgran;Oregon pine;Pseudotsuga menziesii;
622_634;treespecies;11;Kataja;En;Common juniper;Juniperus communis;
622_634;treespecies;12;Kontortamänty;Contortatall;Contorta pine;Pinus contorta;
622_634;treespecies;13;Kynäjalava;Vresalm;European white elm;Ulmus laevis;
622_634;treespecies;14;Lehtikuusi;Lärkträd;Larch;Larix sibirica/Larix decidua;
622_634;treespecies;15;Metsälehmus;Skogslind;Small-leaved lime;Tilia cordata;
622_634;treespecies;16;Mustakuusi;Svartgran;Black spruce;Picea mariana;
622_634;treespecies;17;Paju;Vide;Willow;Salix sp.;
622_634;treespecies;18;Pihlaja;Rönn;Rowan;Sorbus aucuparia;
622_634;treespecies;19;Pihta;Pichtagran;Fir;Abies sibirica;
622_634;treespecies;20;Raita;Sälg;Goat willow;Salix caprea;
622_634;treespecies;21;Saarni;Ask;Ash;Fraxinus excelsior;
622_634;treespecies;22;Sembramänty;Cembratall;Swiss pine;Pinus cembra;
622_634;treespecies;23;Serbiankuusi;Omorikagran;Serbian spruce;Picea omorika;
622_634;treespecies;24;Tammi;Ek;Oak;Quercus robur;
622_634;treespecies;25;Tuomi;Hägg;Bird cherry;Prunus padus;
622_634;treespecies;26;Vaahtera;Lönn;Maple;Acer platanoides;
622_634;treespecies;27;Visakoivu;Masurbjörk;Curly birch;Betula pendula var. carelica;
622_634;treespecies;28;Vuorijalava;Skogsalm;Scots elm;Ulmus glabra;
622_634;treespecies;29;Lehtipuu;Lövträd;Deciduous tree; ;
622_634;treespecies;30;Havupuu;Barrträd;Coniferous tree; ;
622_634;treespecies;103;Koivu;Björk;;;
622_634;treespecies;106;Leppä;Al;;;
622_634;treespecies;201;Sekapuu;Blandträd;;;
646;storey;1;Vallitseva jakso;Härskande trädskikt;dominant storey;;
646;storey;2;Alempi jakso;Lägre trädskikt;lower storey;;
646;storey;3;Ylempi jakso;Högre trädskikt;higher storey;;
646;storey;4;Säästöpuusto;Naturvårdsträd;retention trees;;
646;storey;5;Kaukokartoitus;Fjärranalys;remote sensing;;
646;storey;6;Poistettava puusto;Träd som avlägsnas;Trees to be removed;;
859;currency;EUR;Euro (esim. sata euroa 100.00).;;;;
859;currency;EURc;Eurosentit (esim. sata euroa 10000).;;;;
613;developmentclass;02;Nuori kasvatusmetsikkö;Klenare gallringsbestånd;Young growing forest;;
613;developmentclass;03;Varttunut kasvatusmetsikkö;Grövre gallringsbestånd;Grown up growing forest;;
613;developmentclass;04;Uudistuskypsä metsikkö;Förnyelsemogen skog;Mature forest;;
613;developmentclass;05;Suojuspuumetsikkö;Bestånd i skärmställning;Shelterwood forest;;
613;developmentclass;A0;Aukea;Kalmark;Open land;;
613;developmentclass;ER;Eri-ikäisrakenteinen metsikkö;Olikåldrigt bestånd;Uneven-aged forest;;
613;developmentclass;S0;Siemenpuumetsikkö;Bestånd i fröträdsställning;Seed-tree stand;;
613;developmentclass;T1;Taimikko alle 1,3 m;Yngre plantbestånd;Recently planted forest under 1,3 m;;
613;developmentclass;T2;Taimikko yli 1,3 m;Äldre plantbestånd;Recently planted forest over 1,3 m;;
613;developmentclass;Y1;Ylispuustoinen taimikko;Plantbestånd med överståndare;Recently planted fores with hold-over trees;;
622;maintreespecies;1;Mänty;Tall;Pine;Pinus sylvestris;
622;maintreespecies;2;Kuusi;Gran;Spruce;Picea abies;
622;maintreespecies;3;Rauduskoivu;Vårtbjörk;Silver birch;Betula pendula;
622;maintreespecies;4;Hieskoivu;Glasbjörk;Downy birch;Betula pubescens;
622;maintreespecies;5;Haapa;Asp;Asp;Populus tremula;
622;maintreespecies;6;Harmaaleppä;Gråal;Grey alder;Alnus incana;
622;maintreespecies;7;Tervaleppä;Klibbal;Black alder;Alnus glutinosa;
622;maintreespecies;8;Muu havupuu;Annat barrträdslag;Other coniferous tree; ;
622;maintreespecies;9;Muu lehtipuu;Annat lövträdslag;Other deciduous tree; ;
622;maintreespecies;10;Douglaskuusi;Douglasgran;Oregon pine;Pseudotsuga menziesii;
622;maintreespecies;11;Kataja;En;Common juniper;Juniperus communis;
622;maintreespecies;12;Kontortamänty;Contortatall;Contorta pine;Pinus contorta;
622;maintreespecies;13;Kynäjalava;Vresalm;European white elm;Ulmus laevis;
622;maintreespecies;14;Lehtikuusi;Lärkträd;Larch;Larix sibirica/Larix decidua;
622;maintreespecies;15;Metsälehmus;Skogslind;Small-leaved lime;Tilia cordata;
622;maintreespecies;16;Mustakuusi;Svartgran;Black spruce;Picea mariana;
622;maintreespecies;17;Paju;Vide;Willow;Salix sp.;
622;maintreespecies;18;Pihlaja;Rönn;Rowan;Sorbus aucuparia;
622;maintreespecies;19;Pihta;Pichtagran;Fir;Abies sibirica;
622;maintreespecies;20;Raita;Sälg;Goat willow;Salix caprea;
622;maintreespecies;21;Saarni;Ask;Ash;Fraxinus excelsior;
622;maintreespecies;22;Sembramänty;Cembratall;Swiss pine;Pinus cembra;
622;maintreespecies;23;Serbiankuusi;Omorikagran;Serbian spruce;Picea omorika;
622;maintreespecies;24;Tammi;Ek;Oak;Quercus robur;
622;maintreespecies;25;Tuomi;Hägg;Bird cherry;Prunus padus;
622;maintreespecies;26;Vaahtera;Lönn;Maple;Acer platanoides;
622;maintreespecies;27;Visakoivu;Masurbjörk;Curly birch;Betula pendula var. carelica;
622;maintreespecies;28;Vuorijalava;Skogsalm;Scots elm;Ulmus glabra;
622;maintreespecies;29;Lehtipuu;Lövträd;Deciduous tree; ;
622;maintreespecies;30;Havupuu;Barrträd;Coniferous tree; ;
661;restrictiontype;1;Toimenpiteen päälaji: hakkuu.;Åtgärdens huvudslag: avverkning;Cutting;;
661;restrictiontype;2;Toimenpiteen päälaji: metsänhoito.;Åtgärdens huvudslag: skogsvård;Silviculture;;
661;maintype;1;Toimenpiteen päälaji: hakkuu.;Åtgärdens huvudslag: avverkning;Cutting;;
661;maintype;2;Toimenpiteen päälaji: metsänhoito.;Åtgärdens huvudslag: skogsvård;Silviculture;;
664_667;operationtype;0;Määräaikainen lepo;Vila under fastställd period;Temporary rest;;
664_667;operationtype;1;Ylispuiden poisto;Avverkning av överståndare;Felling of hold-overs;;
664_667;operationtype;2;Ensiharvennus;Första gallring;First thinning;;
664_667;operationtype;3;Harvennus;Gallring;Thinning;;
664_667;operationtype;4;Kaistalehakkuu;Kant- och teghuggning;Strip cutting;;
664_667;operationtype;5;Avohakkuu;Kalavverkning;Clearcutting;;
664_667;operationtype;6;Verhopuuhakkuu;Avverkning i lågskärm;Nurse crop felling;;
664_667;operationtype;7;Suojuspuuhakkuu;Avverkning i skärmställning;Shelterwood felling;;
664_667;operationtype;8;Siemenpuuhakkuu;Avverkning i fröträdsställning;Seeding felling;;
664_667;operationtype;9;Erikoishakkuu;Specialavverkning;;;
664_667;operationtype;11;Yläharvennus;Höggallring;Upper thinning;;
664_667;operationtype;12;Väljennyshakkuu;Ljushuggning;Opening up;;
664_667;operationtype;13;Kunnostushakkuu;Iståndsättande avverkning;Repairs cutting;;
664_667;operationtype;14;Poimintahakkuu;Plockhugging;Picking cutting;;
664_667;operationtype;15;Pienaukkohakkuu;Luckhugging;Small gap cutting;;
664_667;operationtype;20;Energiapuuharvennus; ;Energy wood thinning;;
664_667;operationtype;90;Maankäyttömuodon muutokseen johtava erityishakkuu. Metsänkäyttöilmoituksella esiintyvä hakkuutapa.;Speciell avverkning på grund av ändrad markanvädning. Anmälan om anvädning av skog.;Land use chance special cutting;;
664_667;operationtype;91;Erityishakkuu (Metsälain 6§:n mukainen hakkuu). Metsänkäyttöilmoituksella esiintyvä hakkuutapa.;Speciell avverkning (§6 i skogslagen). Anmälan om anvädning av skog.;Special cutting (Forest act 6§);;
664_667;operationtype;92;Muu hakkuu tai toimenpide. Metsänkäyttöilmoituksella esiintyvä hakkuutapa.;Annan avverkning eller åtgärd. Anmälan om användning av skog.;Other cutting or treatment;;
